sequence,constellation,tdoa,ESKF,DR-only,Adapter-only,WRAP,Transformer-only,Transformer-WRAP,GRU-only,GRU-WRAP
const1-trial1-tdoa2,const1,2,0.1083,0.1063,0.0603,0.0546,0.0710,0.0547,0.0571,0.0522
const1-trial2-tdoa2,const1,2,0.1218,0.1207,0.0630,0.0609,0.0682,0.0579,0.0633,0.0564
const1-trial3-tdoa2,const1,2,0.1086,0.1078,0.0734,0.0648,0.0786,0.0628,0.0730,0.0630
const1-trial4-tdoa2,const1,2,0.1114,0.1106,0.0661,0.0616,0.0791,0.0633,0.0620,0.0581
const1-trial5-tdoa2,const1,2,0.1145,0.1133,0.0576,0.0552,0.0711,0.0562,0.0597,0.0516
const1-trial6-tdoa2,const1,2,0.1230,0.1216,0.0816,0.0766,0.0892,0.0754,0.0789,0.0724
const2-trial1-tdoa2,const2,2,0.1033,0.1021,0.0626,0.0534,0.0713,0.0528,0.0672,0.0513
const2-trial2-tdoa2,const2,2,0.1146,0.1122,0.0690,0.0647,0.0741,0.0620,0.0681,0.0577
const2-trial3-tdoa2,const2,2,0.1083,0.1081,0.0772,0.0702,0.0813,0.0691,0.0817,0.0692
const2-trial4-tdoa2,const2,2,0.0937,0.0938,0.0788,0.0662,0.0816,0.0647,0.0725,0.0598
const2-trial5-tdoa2,const2,2,0.1215,0.1182,0.0890,0.0816,0.0908,0.0800,0.0805,0.0728
const2-trial6-tdoa2,const2,2,0.1060,0.1044,0.0778,0.0684,0.0813,0.0664,0.0791,0.0619
const3-trial1-tdoa2,const3,2,0.2447,0.2131,0.2551,0.2628,0.2422,0.2359,0.2641,0.2476
const3-trial2-tdoa2,const3,2,0.1972,0.1617,0.2293,0.2251,0.2342,0.2139,0.2446,0.2161
const3-trial3-tdoa2,const3,2,0.1892,0.1668,0.2180,0.2152,0.2281,0.2071,0.2302,0.2045
const3-trial4-tdoa2,const3,2,0.2174,0.1903,0.2595,0.2508,0.2461,0.2437,0.2572,0.2414
const3-trial5-tdoa2,const3,2,0.2211,0.1807,0.2751,0.2605,0.2566,0.2450,0.2704,0.2465
const3-trial6-tdoa2,const3,2,0.1943,0.1545,0.2184,0.2225,0.2093,0.2077,0.2211,0.2109
const3-trial7-tdoa2-manual1,const3,2,0.2579,0.2299,0.2873,0.2829,0.2960,0.2822,0.2664,0.2637
const3-trial7-tdoa2-manual2,const3,2,0.3197,0.2717,0.3585,0.3544,0.3537,0.3483,0.3533,0.3390
const4-trial1-tdoa2-traj1,const4,2,0.2015,0.2015,0.1259,0.1486,0.1434,0.1545,0.1357,0.1484
const4-trial1-tdoa2-traj2,const4,2,0.1683,0.1683,0.1290,0.1798,0.1380,0.1624,0.1333,0.1614
const4-trial1-tdoa2-traj3,const4,2,0.1942,0.1942,0.1479,0.1921,0.1602,0.1810,0.1599,0.1913
const4-trial2-tdoa2-traj1,const4,2,0.2308,0.2308,0.1483,0.1418,0.1582,0.1505,0.1584,0.1470
const4-trial2-tdoa2-traj2,const4,2,0.1999,0.1999,0.1382,0.1647,0.1420,0.1494,0.1459,0.1537
const4-trial2-tdoa2-traj3,const4,2,0.2212,0.2212,0.1476,0.1578,0.1572,0.1584,0.1622,0.1644
const4-trial3-tdoa2-traj1,const4,2,0.6139,0.6139,0.3175,0.3385,0.3204,0.3125,0.3264,0.3242
const4-trial3-tdoa2-traj2,const4,2,0.5924,0.5925,0.3248,0.3069,0.2478,0.2315,0.3391,0.3275
const4-trial3-tdoa2-traj3,const4,2,0.5138,0.5139,0.2115,0.1811,0.2214,0.2317,0.2239,0.3028
const4-trial4-tdoa2-traj1,const4,2,0.6933,0.6933,0.4809,0.3955,0.4807,0.4251,0.4944,0.4180
const4-trial4-tdoa2-traj2,const4,2,0.6273,0.6272,0.4213,0.3587,0.4227,0.3758,0.4329,0.3618
const4-trial4-tdoa2-traj3,const4,2,0.5623,0.5623,0.4139,0.3570,0.4067,0.3643,0.4187,0.3889
const4-trial5-tdoa2-traj1,const4,2,0.4110,0.4110,0.2914,0.2537,0.3142,0.3054,0.3111,0.2928
const4-trial5-tdoa2-traj2,const4,2,0.4258,0.4258,0.2276,0.2743,0.2564,0.2637,0.2338,0.2870
const4-trial5-tdoa2-traj3,const4,2,0.3629,0.3629,0.2568,0.2545,0.2621,0.2591,0.2672,0.2675
const4-trial6-tdoa2-traj1,const4,2,0.4540,0.4540,0.3363,0.2883,0.3492,0.3227,0.3452,0.3140
const4-trial6-tdoa2-traj2,const4,2,0.3844,0.3843,0.2849,0.2551,0.2881,0.2608,0.2893,0.2665
const4-trial6-tdoa2-traj3,const4,2,0.4586,0.4586,0.3307,0.2847,0.3398,0.3133,0.3399,0.3192
const4-trial7-tdoa2-manual1,const4,2,0.2814,0.2815,0.2525,0.2991,0.2603,0.2750,0.2569,0.2968
const4-trial7-tdoa2-manual2,const4,2,0.3029,0.3029,0.2887,0.3428,0.2926,0.2973,0.2736,0.3011
const4-trial7-tdoa2-manual3,const4,2,0.2704,0.2704,0.2483,0.2821,0.2527,0.2590,0.2486,0.2715
